id,slug,interalId,description,duration,socialDescription,presenterDisplayName,publishedAt
526880,george_zaidan_how_do_gas_masks_actually_work,128547,"You might think of gas masks as clunky military-looking devices. But in the near future, we may need to rely on these filters as part of our everyday lives. In addition to emerging diseases, wildfire frequency has more than tripled, and climate change has increased toxic ground level ozone. So how do these masks work, and can they protect us from airborne threats? George Zaidan investigates. [Directed by Michael Kalopaidis, Zedem Media, narrated by George Zaidan, music by Manolis Manoli].",254,"You might think of gas masks as clunky military-looking devices. But in the near future, we may need to rely on these filters as part of our everyday lives. In addition to emerging diseases, wildfire frequency has more than tripled, and climate change has increased toxic ground level ozone. So how do these masks work, and can they protect us from airborne threats? George Zaidan investigates. [Directed by Michael Kalopaidis, Zedem Media, narrated by George Zaidan, music by Manolis Manoli].",George Zaidan,2024-04-30T15:14:51Z
527254,bonnie_hancock_my_epic_journey_becoming_the_fastest_person_to_paddle_around_australia,128758,"What challenges lie ahead of a staggering 12,700-kilometer paddle around the entire continent of Australia? Crocodiles and sharks were just the beginning, says Ironwoman Bonnie Hancock. Reflecting on her remarkable feat of becoming the fastest person to paddle around Australia, she shares lessons on perseverance, resilience and finding meaning in life's toughest moments.",600,"What challenges lie ahead of a staggering 12,700-kilometer paddle around the entire continent of Australia? Crocodiles and sharks were just the beginning, says Ironwoman Bonnie Hancock. Reflecting on her remarkable feat of becoming the fastest person to paddle around Australia, she shares lessons on perseverance, resilience and finding meaning in life's toughest moments.",Bonnie Hancock,2024-04-30T14:47:22Z
527863,demis_hassabis_how_ai_is_unlocking_the_secrets_of_nature_and_the_universe,129163,"Can AI help us answer life's biggest questions? In this visionary conversation, Google DeepMind cofounder and CEO Demis Hassabis delves into the history and incredible capabilities of AI with head of TED Chris Anderson. Hassabis explains how AI models like AlphaFold — which accurately predicted the shapes of all 200 million proteins known to science in under a year — have already accelerated scientific discovery in ways that will benefit humanity. Next up? Hassabis says AI has the potential to unlock the greatest mysteries surrounding our minds, bodies and the universe.",1533,"Can AI help us answer life's biggest questions? In this visionary conversation, Google DeepMind cofounder and CEO Demis Hassabis delves into the history and incredible capabilities of AI with head of TED Chris Anderson. Hassabis explains how AI models like AlphaFold — which accurately predicted the shapes of all 200 million proteins known to science in under a year — have already accelerated scientific discovery in ways that will benefit humanity. Next up? Hassabis says AI has the potential to unlock the greatest mysteries surrounding our minds, bodies and the universe.",Demis Hassabis,2024-04-29T14:33:21Z
